lr,hidden,batch,MAE
0.01,512,16,0.15387452155936063
0.01,128,16,0.1610914970393995
0.008,256,16,0.1683133614831199
0.008,128,16,0.17313334839327318
0.008,512,16,0.17449681520778001
0.01,64,16,0.17931837683626514
0.008,64,16,0.18083673939620756
0.01,256,16,0.19794094959540595
0.008,512,32,0.20666355825039104
0.005,128,16,0.21401070923506205
